seconds,cpu(%),memory(%)
5,1.8,7.8
11,8.1,7.8
17,0.0,7.8
22,8.7,7.8
28,7.9,7.8
33,4.8,0.0
39,7.9,0.0
44,3.6,0.0
50,0.2,0.0
55,6.9,0.0
60,4.6,0.0
66,2.7,0.0
71,1.1,0.0
76,9.7,0.0
81,8.2,0.0
86,7.2,0.0
91,6.2,0.0
97,5.2,0.0
103,4.3,0.0
108,4.3,7.6
114,5.8,7.6
120,7.1,7.6
126,8.5,7.6
131,9.5,7.6
137,0.5,7.6
143,1.6,7.6
148,1.5,0.0
154,0.8,0.0
159,0.0,0.0
165,9.4,0.0
170,8.7,0.0
175,8.2,0.0
180,7.7,0.0
185,7.2,0.0
190,6.8,0.0
195,6.3,0.0
201,5.9,0.0
206,5.5,0.0
212,5.1,0.0
217,4.7,0.0
223,4.3,0.0
228,4.0,0.0
234,3.7,8.1
240,4.4,8.1
246,5.1,8.1
