seconds,RX,TX,read(kB/s),write(kB/s),usage of /(MB)
5,36665,0,780.96,1815.26,6079
11,238020,0,774.40,1801.52,6079
17,285804,0,767.94,1807.56,6079
22,238410,0,761.59,1797.01,6079
28,238150,0,755.31,1782.19,6079
33,285834,0,749.48,1768.57,6079
39,190556,0,743.79,1755.14,6079
44,238020,0,738.06,1741.69,6079
50,285624,0,732.47,1728.45,6079
55,238020,0,726.91,1715.39,6077
60,238020,107016,721.45,1702.52,6097
66,535080,0,716.36,1764.38,6321
71,487536,0,711.41,1964.55,6321
76,238020,0,706.49,2018.16,6577
81,233360,0,701.62,2228.14,6577
86,226150,0,696.77,2212.74,6577
91,225920,0,691.92,2328.94,7089
97,271314,0,686.85,2457.29,7089
103,225990,0,681.85,2569.17,7089
108,271164,0,691.49,2704.09,7089
114,225920,0,686.60,2813.41,7089
120,420641,0,681.61,2991.47,8113
126,660546,0,676.65,3029.04,8113
131,550455,0,671.72,3187.29,8113
137,338336,0,678.02,3333.06,8113
143,143865,28723,674.73,3366.02,8113
148,143685,0,670.19,3538.36,8113
154,144135,0,665.72,3551.42,8113
159,143755,0,661.26,3642.26,8113
165,143615,0,666.56,3747.71,8113
170,172338,0,662.49,3873.56,8113
175,143615,0,658.49,3985.30,10169
180,199932,0,654.53,4060.90,10161
185,396477,0,664.33,4158.11,10161
190,425260,0,660.34,4232.94,10161
195,425200,0,659.38,4376.72,10161
201,256591,0,674.35,4399.33,10161
206,172678,0,670.22,4535.30,10161
212,128121,0,669.68,4583.81,10161
217,250652,0,670.76,4692.39,10161
223,250282,0,668.77,4755.50,10161
228,166808,0,716.58,4852.99,10161
234,250272,0,782.40,4956.90,10161
240,250212,0,789.01,5050.11,10161
246,355802,0,784.55,5120.00,10161
251,565202,0,784.26,5214.68,10161
257,523500,0,780.83,5290.98,10161
263,460712,0,780.21,5383.01,10161
268,214952,0,786.91,5461.84,10161
273,250672,0,788.05,5476.45,10161
279,208650,0,783.86,5593.64,10161
284,170419,0,779.62,5651.06,10161
289,226115,0,776.15,5786.95,14257
294,226115,0,772.09,5802.77,14257
299,226115,0,768.27,5863.33,14257
304,226175,0,764.04,5949.62,14257
310,497334,0,759.82,6004.08,14257
315,463312,0,773.71,6084.44,14257
320,553758,0,807.87,6136.61,14257
326,508675,0,805.14,6220.20,14257
332,226325,0,800.69,6312.48,14257
337,242268,0,796.31,6391.65,14257
343,302794,0,792.49,6481.07,14257
348,252360,0,789.74,6533.68,14257
354,252330,0,830.54,6620.54,14257
360,302724,0,829.97,6678.57,14257
366,252270,0,825.44,6770.26,14257
371,252270,0,837.86,6870.88,14257
377,660114,0,834.00,6963.93,14257
383,440146,50454,836.82,6980.36,14257
388,550165,0,840.68,7031.73,14259
393,332535,0,836.62,7091.65,14259
398,153640,0,833.14,7165.72,14259
404,153680,0,829.60,7227.25,14259
409,153500,0,825.66,7305.30,14259
414,153590,0,826.48,7317.95,14259
419,184200,0,822.48,7442.20,14259
424,122800,0,818.43,7435.49,14259
430,184260,0,815.83,7585.29,14259
436,153500,0,812.27,7549.53,14259
441,468350,0,809.71,7611.06,14259
446,437650,0,808.33,7681.79,14259
452,437790,0,818.44,7739.80,14259
458,153780,30700,814.29,7789.32,14259
464,101450,0,812.44,7845.90,14259
470,120330,0,810.84,7908.51,14259
475,120300,0,806.77,7916.44,14259
481,100125,0,802.79,8017.11,14259
487,100125,0,799.13,8027.48,14259
492,100125,0,797.38,8134.54,14259
497,100125,0,794.10,8100.42,14259
502,356555,0,791.87,8154.78,14259
507,400620,0,788.41,8221.52,14259
512,420775,0,785.44,8271.83,14259
517,292465,0,800.88,8327.54,18371
523,120150,0,800.27,8375.60,18355
